N0: H502(260) H4681(176) H511(150) H6279(138) H3131(120) H2871(120)
N1746: H2413(45) H4435(45) H3715(23) H9732(22) H7628(19) H11696(16)
N1747: H2422(165) H555(129) H2202(114) H1509(109) H8137(104) H9596(70)
N1748: H5387(64) H2435(60) H6607(42) H5459(42) H9032(30) H10380(26)
N1749: H9879(92) H8523(79) H8391(65) H9864(43) H8013(43) H8612(41)
N1750: H10967(44) H7918(40) H9812(34) H1560(30) H1578(26) H4870(26)
N1751: H5814(114) H10275(114) H8976(96) H5874(93) H351(78) H4239(66)
N1752: H10260(88) H8977(62) H1394(61) H10622(56) H7388(43) H1290(40)
N1753: H2680(88) H1325(65) H3540(35) H10031(28) H10221(27) H836(26)
N1754: H11877(57) H2434(51) H8241(36) H10653(36) H8393(30) H11106(30)
N1755: H8422(140) H8431(80) H3903(78) H11818(77) H10566(68) H5247(46)
N1756: H7847(190) H11384(117) H81(109) H9569(103) H6529(99) H4526(98)
N1757: H464(76) H8573(70) H9010(46) H10127(46) H11204(45) H3786(35)
N1758: H3359(150) H5971(128) H6058(96) H4174(91) H11616(66) H7152(65)
N1759: H1223(94) H971(92) H9231(61) H6473(56) H3045(52) H7563(51)
N1760: H794(24) H1026(16) H8698(4) H6414(4) H11611(4) H6575(4)
N1761: H865(150) H9280(133) H7800(124) H6966(121) H7083(118) H11368(98)
N1762: H9637(76) H2046(70) H2582(64) H860(58) H1977(56) H11654(37)
N1763: H8258(73) H8822(70) H4040(69) H9176(55) H7099(53) H9509(40)
N1764: H1820(70) H2816(66) H10922(59) H1114(41) H1071(24) H224(22)
N1765: H3672(170) H8632(170) H7665(145) H426(140) H1240(130) H9332(120)
N1766: H5689(131) H3459(120) H6677(116) H168(69) H7055(59) H539(59)
N1767: H1938(127) H8459(87) H5575(83) H4927(82) H7543(73) H232(72)
N1768: H2464(105) H557(89) H6674(89) H3655(70) H339(56) H1231(51)
N1769: H1449(104) H10446(99) H2042(85) H6531(79) H4569(70) H1724(49)
N1770: H4118(86) H1459(79) H1487(52) H636(50) H6514(42) H9258(41)
N1771: H1430(68) H6744(52) H5730(48) H1365(30) H5495(28) H3219(28)
N1772: H4670(141) H10631(123) H11422(117) H7173(114) H1341(81) H5740(78)
N1773: H10445(90) H11594(84) H6085(69) H11265(66) H5928(60) H10864(45)
N1774: H7459(112) H938(82) H4757(82) H4269(58) H3869(37) H2332(29)
N1775: H1207(134) H5007(92) H7535(87) H1250(66) H9250(59) H935(58)
N1776: H10251(137) H11481(123) H4099(117) H10019(82) H11717(68) H1625(64)
N1777: H2610(81) H1307(67) H3509(65) H4217(63) H360(48) H884(44)
N1778: H976(131) H660(122) H903(118) H9160(116) H4848(72) H6034(69)
N1779: H4394(176) H7708(144) H8240(142) H6360(110) H11778(100) H2428(92)
N1780: H2159(79) H6253(73) H4030(69) H9677(56) H7396(52) H1585(44)
N1781: H670(170) H7961(125) H6972(91) H8152(81) H6887(62) H6474(55)
N1782: H8485(170) H4100(97) H4170(90) H10121(86) H1090(82) H4747(68)
N1783: H353(70) H1953(70) H1305(56) H9185(49) H7410(42) H4429(28)
N1784: H9319(151) H5041(126) H8873(113) H7741(92) H7562(91) H3054(87)
N1785: H7003(168) H6508(117) H1403(102) H10717(102) H2601(90) H3531(72)
N1786: H11417(42) H8776(40) H10960(35) H7235(32) H1450(29) H8423(26)
N1787: H4753(92) H8014(91) H10148(44) H4624(34) H10782(34) H6477(33)
N1788: H3416(100) H4607(98) H3335(86) H1629(74) H7106(66) H11348(63)
N1789: H9730(79) H946(54) H11704(44) H1506(41) H1237(36) H10394(31)
N1790: H9073(120) H9947(118) H6452(94) H7033(92) H7288(90) H2306(90)
N1791: H10576(148) H9042(136) H7043(128) H10044(125) H11968(121) H7644(103)
N1792: H7704(174) H2994(150) H664(148) H7045(127) H9954(88) H11224(53)
N1793: H5320(100) H1653(68) H8308(64) H11009(64) H4906(52) H6205(48)
N1794: H5509(149) H2216(124) H1404(117) H1492(83) H10030(76) H11306(76)
N1795: H8642(208) H4295(206) H514(168) H2257(158) H8877(126) H3291(108)
N1796: H2939(127) H11893(126) H9366(108) H2952(65) H4645(63) H11708(58)
N1797: H2824(165) H1458(135) H1017(120) H5640(108) H6762(90) H9986(81)
N1798: H9472(76) H2096(61) H3830(60) H9737(53) H4686(51) H9890(48)
N1799: H4809(106) H8127(63) H10147(53) H603(46) H10059(26) H1379(26)
N1800: H5379(155) H4282(98) H2029(97) H1800(86) H11509(77) H3640(76)
N1801: H10335(70) H9353(42) H10492(14) H9184(14) H10553(7) H6380(7)
N1802: H2192(69) H2377(66) H9484(66) H11504(66) H4689(60) H6540(60)
N1803: H7260(133) H3736(126) H11309(98) H4881(91) H9034(91) H7024(77)
N1804: H10586(136) H5170(134) H11477(133) H9882(113) H3443(97) H3693(70)
N1805: H3507(156) H250(119) H2949(119) H10713(96) H7280(95) H9017(82)
N1806: H11023(86) H7916(80) H1944(68) H2375(64) H2121(60) H8265(38)
N1807: H2724(25) H10444(20) H879(16) H8529(12) H897(7) H11701(6)
N1808: H6336(144) H9387(142) H205(102) H4297(82) H11205(80) H3970(76)
N1809: H2519(101) H5237(82) H6547(75) H9248(67) H5184(64) H2782(61)
N1810: H7399(92) H6714(83) H5512(81) H11244(77) H6878(59) H1033(58)
N1811: H2510(97) H7759(77) H1945(76) H9578(64) H5025(60) H3121(42)
N1812: H8009(130) H2021(127) H589(123) H10958(119) H3806(117) H6672(101)
N1813: H10900(60) H3828(54) H5437(48) H3833(42) H6826(30) H8736(30)
N1814: H4735(125) H4078(120) H2851(90) H3913(86) H9033(82) H4764(67)
N1815: H6582(110) H10143(93) H3566(82) H2899(74) H3698(64) H7034(58)
N1816: H3418(56) H4148(46) H10895(44) H9752(43) H11080(39) H11369(36)
N1817: H8028(163) H8702(125) H242(106) H2212(95) H11804(81) H6603(63)
N1818: H8893(108) H454(96) H8842(96) H6838(88) H7474(80) H10704(80)
N1819: H5484(144) H8798(138) H11873(126) H6168(117) H10090(60) H3282(48)
N1820: H5233(65) H63(52) H686(46) H1846(45) H3005(44) H3549(40)
N1821: H3330(94) H10362(70) H8697(68) H6120(60) H3243(49) H4557(41)
N1822: H3286(67) H2920(64) H7709(42) H1631(41) H2828(37) H9052(34)
N1823: H3340(93) H4168(93) H1814(80) H103(44) H2933(44) H5651(43)
N1824: H9797(98) H7450(90) H5643(85) H10016(75) H837(55) H5215(23)
N1825: H2646(144) H3780(92) H7311(70) H7046(57) H6612(53) H11978(46)
N1826: H22(96) H9178(95) H6250(83) H4852(71) H10421(68) H11716(39)
N1827: H3499(131) H10156(109) H3877(108) H10002(104) H4290(62) H5975(56)
N1828: H9271(120) H10021(52) H4081(44) H9467(39) H7873(30) H6567(24)
N1829: H10914(23) H10737(15) H1871(12) H5600(9) H8156(6) H10969(6)
N1830: H8457(135) H8348(72) H11068(53) H6458(30) H6041(24) H3050(24)
N1831: H5056(106) H5016(103) H9709(98) H10525(96) H7612(61) H2982(56)
N1832: H1925(38) H2711(35) H11228(34) H11400(31) H11342(16) H10432(14)
N1833: H1473(155) H1028(136) H10512(117) H176(94) H4923(69) H6906(52)
N1834: H11475(158) H3914(133) H10597(118) H6556(75) H4842(70) H11860(49)
N1835: H6412(95) H7586(89) H5846(75) H10831(73) H5144(70) H3960(58)
N1836: H6664(26) H6824(24) H8566(14) H10053(14) H7743(11) H5101(7)
N1837: H5856(125) H2013(112) H3433(107) H11737(90) H3245(85) H3250(77)
N1838: H10577(150) H8394(142) H11363(107) H1392(104) H5084(96) H5380(93)
N1839: H7359(88) H5610(76) H4253(56) H5163(49) H10530(45) H10385(41)
N1840: H898(98) H4613(90) H1011(66) H9562(60) H1332(60) H7328(46)
N1841: H5034(181) H4815(96) H5792(95) H1171(94) H2112(83) H10789(80)
N1842: H10179(104) H2860(80) H5054(65) H417(60) H4955(59) H9505(58)
N1843: H1241(121) H10867(106) H2130(88) H3659(77) H5008(77) H294(60)
N1844: H8618(108) H5969(104) H11639(94) H1301(86) H3886(84) H3696(81)
N1845: H4087(154) H7652(129) H11688(116) H4180(60) H3306(57) H150(49)
N1846: H10338(102) H5348(96) H8035(82) H8036(78) H5873(46) H6357(46)
N1847: H3460(66) H11176(58) H85(54) H47(50) H5703(49) H3721(43)
N1848: H117(159) H8909(138) H1117(129) H11866(117) H4385(114) H2656(96)
N1849: H23(110) H11426(97) H5117(55) H6739(51) H9726(38) H201(28)
N1850: H10336(94) H4166(88) H11969(84) H11170(81) H3754(74) H6621(74)
N1851: H1136(110) H3297(99) H11693(93) H3516(88) H9956(72) H9474(60)
N1852: H8117(72) H3107(71) H3984(68) H3700(65) H9(63) H11516(39)
N1853: H949(94) H4331(75) H2461(69) H8969(41) H7029(37) H5535(29)
N1854: H4246(104) H10428(100) H10206(84) H10327(70) H8189(70) H656(56)
N1855: H6221(118) H8032(106) H8599(102) H8995(95) H8518(81) H8874(80)
N1856: H3756(105) H3228(104) H1346(86) H9180(72) H10110(64) H8823(48)
N1857: H5388(121) H11331(119) H9232(118) H1122(76) H6187(69) H1333(60)
N1858: H480(182) H11564(166) H10846(138) H1278(120) H5122(118) H10933(116)
N1859: H8875(113) H2553(96) H4928(81) H6204(75) H10732(63) H8207(61)
N1860: H2015(36) H5831(28) H5085(27) H10313(27) H10257(21) H7458(14)
N1861: H2958(114) H1177(103) H6598(89) H3861(88) H1222(81) H4855(80)
N1862: H9624(120) H10962(120) H5551(80) H5040(64) H11533(64) H5613(56)
N1863: H11762(96) H6323(87) H4167(65) H9691(56) H4714(49) H8810(44)
N1864: H10145(60) H11323(48) H3522(41) H7285(40) H2008(37) H9990(34)
N1865: H606(142) H11745(128) H2621(118) H8488(114) H1821(114) H9943(90)
N1866: H8733(142) H692(110) H1219(102) H9174(70) H6039(58) H4288(58)
N1867: H10571(78) H5988(77) H9603(70) H2573(68) H14(40) H11317(40)
N1868: H6107(60) H970(30) H3579(24) H1907(24) H10123(18) H4986(12)
N1869: H4090(135) H1744(121) H2297(106) H7185(100) H377(90) H5370(87)
N1870: H824(93) H1520(55) H9614(35) H9152(23) H11(21) H3622(20)
N1871: H9003(132) H3524(87) H4991(72) H9487(69) H5908(64) H3808(53)
N1872: H5645(46) H6779(42) H5236(37) H5060(37) H9540(37) H1639(30)
N1873: H336(63) H3505(60) H7488(54) H6857(33) H8890(24) H11614(21)
N1874: H2184(188) H1078(184) H155(142) H8885(139) H7598(131) H7921(95)
N1875: H6351(94) H9902(87) H1050(75) H7435(74) H2803(60) H316(60)
N1876: H6258(102) H6967(91) H11619(85) H10375(77) H9612(70) H8441(50)
N1877: H11917(88) H7062(86) H10367(56) H4367(50) H2090(44) H4814(30)
N1878: H11264(144) H6203(100) H1495(92) H6455(58) H11235(37) H32(28)
N1879: H1149(23) H3831(22) H1034(21) H9600(19) H10009(18) H9477(17)
N1880: H8761(63) H1610(51) H10996(48) H3206(45) H3062(45) H3265(30)
N1881: H6764(104) H1606(96) H1037(88) H7689(80) H10768(80) H1552(56)
N1882: H5213(159) H8321(153) H8301(149) H8933(145) H6698(137) H711(135)
N1883: H1371(69) H2936(67) H6809(58) H2225(35) H9326(34) H2554(34)
N1884: H5803(120) H5385(117) H4409(96) H2160(90) H5277(63) H1889(62)
N1885: H8928(85) H188(63) H5222(48) H7039(48) H3385(34) H3324(32)
N1886: H11031(78) H8495(72) H1874(60) H5719(51) H1523(42) H1413(36)
N1887: H9786(86) H4604(80) H9561(74) H8972(70) H10699(51) H6379(44)
N1888: H5880(210) H3204(176) H10842(135) H9823(104) H2467(65) H9083(61)
N1889: H11628(155) H10677(132) H4755(128) H3360(126) H11065(112) H3593(101)
N1890: H5517(116) H8474(106) H7097(92) H3814(88) H5573(88) H4191(86)
N1891: H8162(126) H9583(124) H10990(98) H8436(96) H3348(82) H3871(80)
N1892: H9539(58) H9320(54) H5070(41) H11961(32) H5461(27) H4138(20)
N1893: H4977(98) H8552(70) H9719(42) H3026(30) H2028(30) H10419(28)
N1894: H9157(98) H11473(88) H6111(75) H7162(68) H6643(62) H9140(60)
N1895: H5946(114) H3060(96) H8186(96) H8884(86) H9021(74) H9228(62)
N1896: H5569(98) H11625(82) H1942(68) H10395(42) H436(40) H5433(36)
N1897: H10159(135) H9715(117) H11515(117) H2458(108) H3388(96) H3770(96)
N1898: H5728(114) H1980(94) H6684(94) H9388(78) H4414(64) H11432(56)
N1899: H6804(168) H4122(124) H6095(101) H11939(89) H4172(78) H234(69)
N1900: H9529(156) H6484(153) H6847(111) H1854(105) H10146(55) H6890(52)
N1901: H6903(64) H3386(52) H9171(44) H5955(40) H6578(34) H4580(30)
N1902: H4109(132) H3123(93) H6220(90) H7081(90) H11158(75) H7282(36)
N1903: H2814(104) H8742(65) H5897(27) H9504(26) H10104(19) H6332(18)
N1904: H7236(171) H3473(127) H6990(119) H6461(104) H9921(100) H1265(86)
N1905: H9394(174) H10364(144) H11595(124) H1711(97) H3712(93) H11465(89)
N1906: H8630(120) H473(105) H5475(87) H3764(84) H8403(63) H6089(36)
N1907: H11266(111) H9117(108) H5858(87) H3503(66) H704(54) H3862(45)
N1908: H847(219) H5555(186) H9009(183) H9845(160) H7795(149) H4680(127)
N1909: H4760(81) H4577(67) H11272(56) H7122(54) H4360(47) H2767(45)
N1910: H7621(59) H10032(50) H2705(38) H11021(28) H2743(28) H7954(26)
N1911: H6996(186) H6509(125) H2996(123) H6267(112) H6040(111) H918(108)
N1912: H8352(152) H11312(120) H10029(117) H9119(81) H6172(79) H4466(78)
N1913: H2558(127) H6425(112) H320(110) H7792(87) H10806(80) H10508(72)
N1914: H4891(118) H4249(114) H5810(114) H9537(111) H8938(106) H4224(103)
N1915: H10562(106) H6432(98) H488(94) H10652(76) H10814(73) H11234(73)
N1916: H699(90) H11208(90) H627(59) H3631(58) H1281(30) H1318(28)
N1917: H5835(54) H3898(52) H7326(40) H297(39) H791(36) H8179(32)
N1918: H2616(124) H10068(100) H8513(85) H11534(74) H5659(72) H1984(65)
N1919: H5531(76) H6150(72) H3079(71) H7712(69) H3058(46) H6431(41)
N1920: H9930(87) H7735(70) H8558(66) H9957(62) H4719(46) H1674(41)
N1921: H1308(96) H10611(84) H6634(78) H1679(72) H10645(63) H8808(60)
N1922: H10473(187) H11844(170) H3958(139) H7382(127) H3365(86) H8153(80)
N1923: H4555(163) H11987(163) H7643(122) H10331(109) H11159(104) H9961(90)
N1924: H2429(97) H11096(48) H7775(27) H1921(22) H11328(21) H10505(18)
N1925: H745(75) H5926(75) H9550(75) H9544(70) H2775(55) H7542(45)
N1926: H1178(121) H6171(113) H2482(94) H108(92) H7220(77) H5702(68)
N1927: H6049(65) H11095(55) H10636(48) H7641(47) H8082(33) H11998(32)
N1928: H6753(64) H3011(60) H2142(52) H9511(48) H5141(32) H9310(28)
N1929: H3039(96) H7233(80) H8646(56) H3547(48) H7057(48) H2905(48)
N1930: H7086(182) H9403(164) H10832(154) H5069(95) H8789(66) H3821(66)
N1931: H5666(66) H2951(63) H4493(51) H5892(46) H2639(45) H3165(39)
N1932: H9439(116) H5758(106) H11497(88) H1162(78) H8720(78) H9066(74)
N1933: H6896(98) H1243(91) H10431(87) H5546(78) H10479(51) H4162(35)
N1934: H7301(48) H4421(40) H10719(40) H3081(28) H623(27) H5290(25)
N1935: H2066(127) H6308(90) H5879(59) H11950(41) H5357(34) H9381(32)
N1936: H530(148) H11365(139) H7447(133) H4805(121) H3671(103) H208(63)
N1937: H373(47) H8420(46) H569(44) H3012(41) H8715(28) H10968(26)
N1938: H8526(124) H10697(119) H10125(117) H5896(109) H9491(103) H9686(103)
N1939: H3010(94) H82(74) H7878(54) H1706(52) H6097(44) H1195(42)
N1940: H7487(180) H690(155) H3708(140) H8415(140) H1707(128) H7948(112)
N1941: H727(54) H10565(42) H834(34) H9784(28) H8844(25) H5218(23)
N1942: H3731(78) H6125(60) H9519(60) H6224(60) H10844(57) H3643(54)
N1943: H10543(90) H7430(82) H1549(69) H1876(67) H10544(60) H11800(51)
N1944: H4825(127) H1857(124) H11880(114) H7738(111) H2378(95) H507(44)
N1945: H6962(119) H4163(112) H2263(75) H355(75) H3397(67) H3782(54)
N1946: H3304(124) H995(112) H1908(109) H7780(105) H8263(102) H4944(89)
N1947: H7524(126) H1661(112) H6493(111) H3995(103) H1717(99) H10868(79)
N1948: H5118(178) H2976(149) H4531(104) H11407(76) H7022(70) H7342(63)
N1949: H11010(111) H111(94) H523(85) H4749(70) H2746(70) H272(69)
N1950: H5947(154) H3074(148) H9057(138) H597(119) H7825(118) H8522(108)
N1951: H10365(120) H1499(105) H11022(105) H1052(100) H8675(75) H9771(75)
N1952: H9643(193) H80(126) H3857(103) H1367(93) H4064(75) H10910(73)
N1953: H8030(72) H8745(63) H2785(63) H11740(54) H6725(45) H5112(36)
N1954: H1485(60) H9836(58) H7934(42) H4556(39) H4130(38) H2232(38)
N1955: H7012(139) H3241(117) H2248(111) H592(110) H2224(94) H9294(70)
N1956: H7329(84) H9874(76) H10430(58) H5251(38) H7183(34) H288(34)
N1957: H11883(80) H8910(74) H2276(56) H9931(29) H253(24) H1819(22)
N1958: H2515(72) H5823(72) H9512(64) H11827(64) H164(64) H6532(64)
N1959: H289(30) H8693(26) H2170(24) H2917(22) H10487(22) H11364(22)
N1960: H479(183) H5300(135) H10741(131) H4676(117) H7467(111) H1978(109)
N1961: H4768(99) H5890(81) H1667(61) H7019(38) H706(33) H3768(30)
N1962: H10638(120) H3656(95) H11233(85) H8806(65) H4062(60) H375(55)
N1963: H8805(130) H5591(125) H461(73) H1142(72) H4819(51) H6661(41)
N1964: H8043(178) H8971(140) H2886(130) H4752(124) H8067(104) H6491(94)
N1965: H2792(50) H2411(48) H3233(43) H7014(40) H6302(39) H4031(38)
N1966: H2244(75) H3182(70) H6591(69) H3353(67) H2605(66) H7017(57)
N1967: H9785(137) H800(132) H1955(132) H9640(97) H3487(88) H9463(81)
N1968: H8883(72) H2685(58) H5188(56) H8709(46) H9453(42) H8582(22)
N1969: H1796(64) H2389(39) H5854(34) H8606(34) H9577(33) H468(24)
N1970: H2594(300) H2602(300) H4445(300) H4761(300) H6510(300) H7850(300)
N1971: H11380(27) H5611(24) H7473(23) H4739(17) H7088(17) H6349(14)
N1972: H11540(116) H9357(108) H7249(93) H364(54) H9331(50) H3717(39)
N1973: H11607(96) H6549(84) H7538(58) H3389(56) H3106(54) H8527(42)
N1974: H8384(82) H6590(81) H3875(78) H4867(66) H4311(57) H7540(55)
N1975: H3639(138) H7693(129) H9360(100) H5771(88) H7891(80) H3811(57)
N1976: H4506(94) H4229(90) H5139(79) H10420(79) H11957(57) H6564(43)
N1977: H4699(156) H9887(116) H1368(114) H200(104) H4865(100) H5984(94)
N1978: H5351(120) H573(105) H5763(101) H7748(96) H839(93) H8333(85)
N1979: H9297(49) H4780(48) H6368(43) H3824(37) H7722(31) H10485(25)
N1980: H890(118) H10554(116) H5522(98) H596(92) H6710(82) H4212(72)
N1981: H8777(102) H6210(82) H6305(74) H2805(74) H186(55) H4833(54)
N1982: H1187(45) H8309(32) H950(27) H3053(21) H1064(17) H6597(3)
N1983: H6212(92) H4661(84) H7601(64) H11586(62) H4525(59) H11135(46)
N1984: H11108(126) H1500(118) H3430(87) H8819(57) H4594(53) H10716(51)
N1985: H1080(127) H646(106) H8661(96) H2186(92) H11069(91) H5529(85)
N1986: H6025(142) H7294(140) H10012(130) H2459(106) H9298(68) H5486(66)
N1987: H10964(213) H9466(161) H7756(155) H5004(134) H10813(134) H7943(107)
N1988: H11946(65) H7930(37) H10256(34) H6012(24) H4970(22) H3032(20)
N1989: H162(114) H11853(103) H6370(57) H7087(56) H10596(49) H5620(43)
N1990: H115(97) H659(68) H3093(62) H9163(43) H10985(38) H4322(36)
N1991: H2163(116) H9072(108) H3551(80) H1382(55) H4578(55) H10997(53)
N1992: H10288(60) H3155(59) H10259(49) H4983(30) H2380(26) H3855(18)
N1993: H7193(108) H9989(93) H11016(84) H613(54) H5542(33) H10267(30)
N1994: H269(105) H1118(100) H3726(87) H1678(82) H1070(80) H5409(80)
N1995: H3663(121) H2984(117) H6326(99) H1023(92) H2512(58) H9636(49)
N1996: H3994(120) H95(112) H1443(104) H3779(96) H10774(96) H5038(76)
N1997: H2442(135) H2988(125) H10301(90) H8343(80) H8981(80) H1262(70)
N1998: H3968(130) H7529(120) H6311(102) H9963(81) H8315(78) H2040(57)
N1999: H4255(185) H5944(128) H4025(107) H8160(97) H9267(83) H11823(65)
